"Geography","county","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"0500000US16011","Bingham","ID",48253,0.788,0.002,0.056,0.004,0,0.07,0.08,0.182,69433,0.884,0.199
"0500000US16013","Blaine","ID",24248,0.835,0.005,0.016,0.004,0,0.073,0.067,0.235,81794,0.918,0.445
"0500000US16015","Boise","ID",7809,0.899,0.004,0.012,0.008,0,0.017,0.061,0.058,70776,0.954,0.271
"0500000US16017","Bonner","ID",47976,0.918,0.003,0.006,0.006,0.001,0.012,0.054,0.037,61816,0.913,0.272
"0500000US16019","Bonneville","ID",124490,0.869,0.004,0.006,0.009,0,0.054,0.057,0.138,73103,0.92,0.319
"0500000US16021","Boundary","ID",12335,0.905,0.004,0.021,0.015,0.001,0.024,0.031,0.054,58810,0.869,0.182
"0500000US16023","Butte","ID",2605,0.915,0,0,0,0.004,0.006,0.075,0.055,37358,0.904,0.162
"0500000US16025","Camas","ID",1133,0.82,0,0,0,0,0.026,0.154,0.148,63750,0.872,0.27
"0500000US16027","Canyon","ID",235006,0.764,0.006,0.011,0.008,0.003,0.115,0.093,0.257,68473,0.87,0.216
"0500000US16029","Caribou","ID",7058,0.918,0,0.001,0.001,0,0.046,0.034,0.072,65380,0.904,0.157
"0500000US16031","Cassia","ID",24859,0.785,0.001,0.009,0.004,0,0.099,0.102,0.28,63525,0.857,0.205
"0500000US16033","Clark","ID",756,0.627,0.005,0,0,0,0.265,0.103,0.423,53500,0.616,0.153
"0500000US16035","Clearwater","ID",8810,0.908,0.002,0.012,0.009,0,0.011,0.057,0.042,55885,0.918,0.181
"0500000US16037","Custer","ID",4344,0.898,0.001,0.008,0,0,0.012,0.081,0.039,60357,0.913,0.288
"0500000US16039","Elmore","ID",28752,0.761,0.024,0.016,0.03,0.004,0.051,0.115,0.179,55000,0.88,0.209
"0500000US16041","Franklin","ID",14376,0.923,0,0.005,0.003,0,0.031,0.038,0.069,61679,0.921,0.172
"0500000US16043","Fremont","ID",13519,0.905,0.003,0.014,0.001,0,0.042,0.035,0.123,67015,0.898,0.214
"0500000US16045","Gem","ID",19250,0.867,0.001,0.003,0.003,0,0.048,0.079,0.09,65204,0.902,0.225
"0500000US16047","Gooding","ID",15520,0.781,0.001,0.024,0.003,0,0.102,0.089,0.298,60938,0.79,0.158
"0500000US16049","Idaho","ID",16787,0.923,0.001,0.031,0.005,0,0.007,0.033,0.037,54745,0.922,0.215
"0500000US16051","Jefferson","ID",31383,0.893,0.001,0.008,0.002,0,0.046,0.049,0.108,77491,0.926,0.268
