test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2012,Senate,MT,Fallon County,0,30025,,,,,100,422,836,,,29.9,59.2,,,-414,-29.3,,
,,2012,Senate,MT,Fergus County,0,30027,,,,,100,2052,3522,,,33.9,58.2,,,-1470,-24.3,,
,,2012,Senate,MT,Flathead County,0,30029,,,,,100,15825,23648,,,37.1,55.5,,,-7823,-18.4,,
,,2012,Senate,MT,Gallatin County,0,30031,,,,,100,24309,20140,,,51.5,42.6,,,4169,8.9,,
,,2012,Senate,MT,Garfield County,0,30033,,,,,100,101,558,,,14.3,79.0,,,-457,-64.7,,
,,2012,Senate,MT,Glacier County,0,30035,,,,,100,2976,1094,,,69.0,25.4,,,1882,43.6,,
,,2012,Senate,MT,Golden Valley County,0,30037,,,,,100,174,276,,,36.2,57.5,,,-102,-21.3,,
,,2012,Senate,MT,Granite County,0,30039,,,,,100,657,895,,,38.5,52.5,,,-238,-14.0,,
,,2012,Senate,MT,Hill County,0,30041,,,,,100,4025,2337,,,59.0,34.2,,,1688,24.8,,
,,2012,Senate,MT,Jefferson County,0,30043,,,,,100,2669,3377,,,40.9,51.7,,,-708,-10.8,,
,,2012,Senate,MT,Judith Basin County,0,30045,,,,,100,439,700,,,35.9,57.2,,,-261,-21.3,,
,,2012,Senate,MT,Lake County,0,30047,,,,,100,6460,5684,,,49.0,43.1,,,776,5.9,,
,,2012,Senate,MT,Lewis and Clark County,0,30049,,,,,100,18024,13339,,,54.3,40.2,,,4685,14.1,,
,,2012,Senate,MT,Liberty County,0,30051,,,,,100,368,568,,,36.9,57.0,,,-200,-20.1,,
,,2012,Senate,MT,Lincoln County,0,30053,,,,,100,3083,5069,,,34.6,56.9,,,-1986,-22.3,,
,,2012,Senate,MT,Madison County,0,30057,,,,,100,1510,2677,,,33.2,58.9,,,-1167,-25.7,,
,,2012,Senate,MT,McCone County,0,30055,,,,,100,328,615,,,32.7,61.3,,,-287,-28.6,,
,,2012,Senate,MT,Meagher County,0,30059,,,,,100,342,544,,,34.9,55.6,,,-202,-20.7,,
,,2012,Senate,MT,Mineral County,0,30061,,,,,100,864,960,,,42.7,47.5,,,-96,-4.8,,
,,2012,Senate,MT,Missoula County,0,30063,,,,,100,38130,18718,,,63.9,31.4,,,19412,32.5,,
,,2012,Senate,MT,Musselshell County,0,30065,,,,,100,670,1433,,,28.6,61.2,,,-763,-32.6,,
,,2012,Senate,MT,Park County,0,30067,,,,,100,4192,3838,,,48.2,44.1,,,354,4.1,,
,,2012,Senate,MT,Petroleum County,0,30069,,,,,100,73,202,,,24.4,67.6,,,-129,-43.2,,
,,2012,Senate,MT,Phillips County,0,30071,,,,,100,607,1465,,,27.2,65.6,,,-858,-38.4,,
,,2012,Senate,MT,Pondera County,0,30073,,,,,100,1180,1352,,,43.5,49.9,,,-172,-6.4,,
,,2012,Senate,MT,Powder River County,0,30075,,,,,100,239,719,,,23.3,70.1,,,-480,-46.8,,
