state,office_type,district,margin_pct_1,margin_votes_1
AR,House,4,-44.81162550300883,-97105
CA,House,6,11.892339046967646,25733
KY,House,5,-64.34688121329819,-139163
IN,House,8,-34.20014812071839,-73886
OH,House,11,55.50693060127023,119734
MT,House,2,-36.3973997551838,-78499
TX,House,13,-50.70734172733921,-108857
IN,House,1,5.681802192235715,12114
TX,House,14,-40.31780585412083,-85937
AL,House,5,-37.53585440638291,-79695
TX,House,5,-30.03561908805699,-63665
FL,House,28,-27.3701160312574,-57792
CA,House,30,NA,NA
SC,House,6,24.188259377902458,51044
TN,House,8,-49.68737370135273,-104500
TX,House,36,-38.920401688810436,-81583
IL,House,2,34.25504959961754,71653
TX,House,23,-17.10062459286508,-35702
AR,House,1,-47.59564624805636,-99176
VA,House,3,34.63603560259803,71991
TN,House,2,-35.81790702823423,-74416
IL,House,8,13.775547137031586,28545
TX,House,27,-28.88753640829457,-59805
LA,House,2,54.22805503128551,111193
AZ,House,8,NA,NA
HI,House,1,45.62205378054927,92329
FL,House,9,7.270912397216951,14714
NY,House,10,66.22982125453295,133871
FL,House,26,-41.74599718962139,-84372
IN,House,3,-35.229381468874976,-71002
RI,House,2,3.7112920149784423,7463
FL,House,10,19.564303936771548,39111
TN,House,3,-38.184957213631584,-76305
AL,House,2,-39.93043862867597,-79446
CA,House,14,38.67703966462432,76760
NJ,House,12,27.21728119781866,53952
WY,House,0,-42.864206500570134,-84956
OK,House,3,-49.07873713164654,-97064
IN,House,4,-36.43435947758703,-72030
AZ,House,9,NA,NA
CA,House,27,-6.4788617720694495,-12732
AZ,House,7,29.088848270721222,56974
AL,House,4,-70.48428215988106,-137961
TN,House,6,-32.66278074263187,-63713
CA,House,15,NA,NA
SC,House,3,NA,NA
IN,House,2,-32.16418564148542,-62422
AL,House,7,28.780550685779108,55817
IN,House,6,-35.05921746140014,-67848
NM,House,2,0.7006690091502182,1350
CA,House,8,51.45704842948968,98867
NY,House,11,-18.938367097020667,-36188
AL,House,3,-46.0820562377236,-87743
MA,House,7,65.68824737923406,124696
TX,House,19,NA,NA
FL,House,20,44.62801142456706,84064
TN,House,1,-58.61183066227667,-110192
MS,House,3,-41.476047072894644,-77678
PA,House,2,51.3035466539535,95775
FL,House,24,43.570156704735574,80993
TX,House,25,NA,NA
NJ,House,6,16.439089547315312,30399
MD,House,7,64.34110205031358,118903
AL,House,6,NA,NA
TX,House,31,NA,NA
SC,House,4,NA,NA
TX,House,7,27.585808644385658,50159
TN,House,7,-21.815929477607813,-39448
TX,House,30,52.99729105382992,95667
CA,House,17,41.859497484091804,75453
MS,House,2,20.203808646326504,36401
TX,House,35,45.153666950405444,80630
IL,House,3,36.99897051626078,65769
TX,House,32,30.710595552651,54511
IN,House,7,36.350039958899416,63678
CA,House,9,9.630733944954128,16796
CA,House,38,16.183143920922948,28209
MS,House,4,-48.74209505445948,-84937
TN,House,4,-44.830687800181046,-77753
CA,House,23,-22.050796842198633,-37289
TX,House,20,36.8483798836292,62126
AL,House,1,NA,NA
IL,House,7,NA,NA
NY,House,9,NA,NA
MS,House,1,-45.94865851400032,-76913
TX,House,28,13.301646928089575,22025
TX,House,9,53.3504067674366,87285
MD,House,4,80.4498496959546,128727
RI,House,1,28.2408411703906,44263
TX,House,18,44.51967133386234,69570
CA,House,31,19.084784377542718,29319
NY,House,7,45.12591415565556,69294
CA,House,25,14.756910345550013,22540
TX,House,15,-8.480535127626096,-12881
CA,House,18,31.706190227901235,48039
TX,House,11,NA,NA
CA,House,52,33.344811145838854,50356
TX,House,16,26.92696151392728,40524
NJ,House,9,11.395882227437593,17092
TX,House,6,NA,NA
CA,House,42,36.73787210584344,53314
NY,House,8,43.123425344001774,62303
NY,House,5,50.57720557665124,72991
NY,House,13,NA,NA
AZ,House,3,53.96033287494507,76124
CA,House,44,44.41224389751575,61606
NY,House,6,29.62045725241844,40785
TX,House,34,8.503484851865903,11432
TN,House,9,43.81561851282128,58677
CA,House,13,-0.4222947677378777,-564
IL,House,4,40.34965087525461,53684
CA,House,33,15.424205203945535,20469
CA,House,37,NA,NA
CA,House,39,15.346094515832428,20195
CA,House,35,14.729712186815117,19289
NJ,House,10,57.60444694580863,74717
CA,House,46,23.58232117689908,29784
CA,House,21,8.357541365890153,10501
CA,House,43,54.66070459387429,67477
NY,House,14,34.35659395343525,42115
CA,House,34,NA,NA
CA,House,29,NA,NA
TX,House,33,46.37200736648251,52878
NJ,House,8,50.177040188592414,53425
CA,House,22,-3.0450338337092635,-3132
NY,House,15,59.493571344316436,60524
TX,House,29,42.814258165841636,43072
FL,House,5,NA,NA
LA,House,4,NA,NA
