office_type,district,state,county,fips,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2
President,0,SC,Sumter,085,13.03965658217498,6379,12.011896113330911,5291
President,0,SC,Union,087,-24.500264011465642,-3248,-19.28518242740134,-2331
President,0,SC,Williamsburg,089,29.75914920237723,4757,33.79626553259353,5086
President,0,SC,York,091,-16.465810482471365,-23719,-22.054220850782457,-25015
President,0,SD,Aurora,003,-52.313167259786475,-735,-45.06041222459133,-634
President,0,SD,Beadle,005,-38.144329896907216,-2701,-37.551683402244535,-2543
President,0,SD,Bennett,007,-19.273034657650044,-228,-22.106179286335944,-254
President,0,SD,Bon Homme,009,-50.44985004998334,-1514,-47.10827168796234,-1401
President,0,SD,Brookings,011,-12.974531475252283,-1890,-14.739747634069401,-1869
President,0,SD,Brown,013,-23.0352766854733,-4042,-25.82386892571216,-4161
President,0,SD,Brule,015,-43.25301204819277,-1077,-43.44405594405595,-994
President,0,SD,Buffalo,017,30.783242258652095,169,25.510204081632654,125
President,0,SD,Butte,019,-58.14244064972928,-2792,-61.251725724804416,-2662
President,0,SD,Campbell,021,-72.16494845360825,-630,-72.08182912154031,-599
President,0,SD,Charles Mix,023,-36.34681469733016,-1375,-42.14972327410428,-1447
President,0,SD,Clark,025,-50.5945945945946,-936,-44.71937235968618,-741
President,0,SD,Clay,027,11.003861003861005,627,9.844150720063128,499
President,0,SD,Codington,029,-38.910417141554596,-5121,-39.334990144828176,-4590
President,0,SD,Corson,031,-1.9485580670303975,-25,-4.51063829787234,-53
President,0,SD,Custer,033,-42.409901710957406,-2330,-46.013570822731126,-2170
President,0,SD,Davison,035,-35.07215519280814,-2965,-35.2364185110664,-2802
President,0,SD,Day,037,-27.564102564102566,-817,-23.771386967601018,-653
President,0,SD,Deuel,039,-46.38297872340426,-1090,-38.26923076923077,-796
President,0,SD,Dewey,041,17.344862665310274,341,9.607498535442296,164
President,0,SD,Douglas,043,-73.34504979496192,-1252,-70.03115264797508,-1124
President,0,SD,Edmunds,045,-56.4735516372796,-1121,-54.900938477580816,-1053
President,0,SD,Fall River,047,-45.15091538842157,-1825,-47.431939376929556,-1690
President,0,SD,Faulk,049,-64.80541455160744,-766,-58.49731663685152,-654
President,0,SD,Grant,051,-41.70894526034713,-1562,-39.61257720381808,-1411
President,0,SD,Gregory,053,-58.28166519043401,-1316,-57.81922525107604,-1209
