state,county,winner,margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share
Alabama,Lawrence County,Republican,54.7,16031,3562,12322,22.2,76.9
Alabama,Lee County,Republican,20.1,71449,27860,42221,39.0,59.1
Alabama,Limestone County,Republican,42.6,49235,13672,34640,27.8,70.4
Alabama,Lowndes County,Democrat,45.8,6835,4972,1836,72.7,26.9
Alabama,Macon County,Democrat,63.8,8723,7108,1541,81.5,17.7
Alabama,Madison County,Republican,8.0,194767,87286,102780,44.8,52.8
Alabama,Marengo County,Democrat,1.3,10900,5488,5343,50.3,49.0
Alabama,Marion County,Republican,77.8,13807,1463,12205,10.6,88.4
Alabama,Marshall County,Republican,68.7,39655,5943,33191,15.0,83.7
Alabama,Mobile County,Republican,11.9,183164,79474,101243,43.4,55.3
Alabama,Monroe County,Republican,15.8,10668,4455,6147,41.8,57.6
Alabama,Montgomery County,Democrat,31.5,99139,64529,33311,65.1,33.6
Alabama,Morgan County,Republican,49.2,53722,13234,39664,24.6,73.8
Alabama,Perry County,Democrat,48.2,5230,3860,1339,73.8,25.6
Alabama,Pickens County,Republican,16.3,9668,4022,5594,41.6,57.9
Alabama,Pike County,Republican,17.4,13841,5636,8042,40.7,58.1
Alabama,Randolph County,Republican,58.7,10837,2203,8559,20.3,79.0
Alabama,Russell County,Democrat,6.4,21329,11228,9864,52.6,46.2
Alabama,St. Clair County,Republican,64.0,44441,7744,36166,17.4,81.4
Alabama,Shelby County,Republican,40.4,114950,33268,79700,28.9,69.3
Alabama,Sumter County,Democrat,48.5,6291,4648,1598,73.9,25.4
Alabama,Talladega County,Republican,25.5,35663,13138,22235,36.8,62.3
Alabama,Tallapoosa County,Republican,43.4,20991,5859,14963,27.9,71.3
Alabama,Tuscaloosa County,Republican,14.8,90172,37765,51117,41.9,56.7
Alabama,Walker County,Republican,67.9,31170,4834,26002,15.5,83.4
Alabama,Washington County,Republican,48.6,8876,2258,6564,25.4,74.0
Alabama,Wilcox County,Democrat,37.5,5903,4048,1833,68.6,31.1
Alabama,Winston County,Republican,81.7,11284,974,10195,8.6,90.3
Alaska,District 1,Republican,0.5,7360,3477,3511,47.2,47.7
Alaska,District 2,Republican,25.4,6161,2104,3674,34.2,59.6
Alaska,District 3,Republican,49.8,8385,1903,6076,22.7,72.5
Alaska,District 4,Democrat,6.2,10587,5345,4690,50.5,44.3
Alaska,District 5,Democrat,1.5,8706,4204,4077,48.3,46.8
Alaska,District 6,Republican,26.2,9518,3272,5770,34.4,60.6
Alaska,District 7,Republican,49.8,9664,2215,7027,22.9,72.7
Alaska,District 8,Republican,56.9,9957,1953,7618,19.6,76.5
Alaska,District 9,Republican,45.4,11047,2769,7787,25.1,70.5
Alaska,District 10,Republican,47.6,11256,2727,8081,24.2,71.8
Alaska,District 11,Republican,37.1,10686,3130,7096,29.3,66.4
Alaska,District 12,Republican,43.8,11280,2957,7893,26.2,70.0
Alaska,District 13,Republican,25.6,7765,2666,4652,34.3,59.9
Alaska,District 14,Republican,21.3,11534,4261,6714,36.9,58.2
Alaska,District 15,Republican,0.9,5593,2622,2671,46.9,47.8
Alaska,District 16,Democrat,9.3,8170,4274,3516,52.3,43.0
Alaska,District 17,Democrat,18.3,7271,4136,2810,56.9,38.6
Alaska,District 18,Democrat,24.7,7759,4681,2760,60.3,35.6
Alaska,District 19,Democrat,21.4,5338,3118,1975,58.4,37.0
Alaska,District 20,Democrat,33.1,7544,4881,2383,64.7,31.6
Alaska,District 21,Democrat,18.2,9482,5414,3690,57.1,38.9
Alaska,District 22,Republican,1.4,9597,4553,4684,47.4,48.8
Alaska,District 23,Democrat,2.0,7796,3810,3655,48.9,46.9
Alaska,District 24,Republican,6.1,10484,4736,5378,45.2,51.3
Alaska,District 25,Democrat,2.1,9369,4600,4407,49.1,47.0
Alaska,District 26,Republican,3.3,20292,4558,5243,22.5,25.8
Alaska,District 27,Democrat,2.7,19037,4844,4324,25.4,22.7
Alaska,District 28,Democrat,0.4,25580,6264,6162,24.5,24.1
Alaska,District 29,Republican,41.5,10784,2985,7464,27.7,69.2
Alaska,District 30,Republican,44.4,10226,2638,7180,25.8,70.2
Alaska,District 31,Republican,15.5,12481,5037,6971,40.4,55.9
Alaska,District 32,Republican,11.2,8361,3506,4440,41.9,53.1
Alaska,District 33,Democrat,40.6,11016,7535,3059,68.4,27.8
Alaska,District 34,Democrat,11.3,10794,5763,4543,53.4,42.1
Alaska,District 35,Democrat,2.4,10149,5011,4769,49.4,47.0
Alaska,District 36,Republican,14.1,9292,3796,5114,40.9,55.0
Alaska,District 37,Democrat,3.9,5168,2560,2358,49.5,45.6
Alaska,District 38,Democrat,27.6,5299,3202,1737,60.4,32.8
Alaska,District 39,Democrat,27.7,5930,3580,1939,60.4,32.7
Alaska,District 40,Democrat,7.0,4628,2318,1994,50.1,43.1
Arizona,Apache County,Democrat,33.7,35183,23293,11442,66.2,32.5
Arizona,Cochise County,Republican,19.6,60473,23732,35557,39.2,58.8
Arizona,Coconino County,Democrat,24.0,73346,44698,27052,60.9,36.9
Arizona,Gila County,Republican,34.1,27678,8943,18377,32.3,66.4
Arizona,Graham County,Republican,44.8,14996,4034,10749,26.9,71.7
Arizona,Greenlee County,Republican,34.0,3688,1182,2433,32.0,66.0
Arizona,La Paz County,Republican,38.8,7460,2236,5129,30.0,68.8
Arizona,Maricopa County,Democrat,2.2,2069475,1040774,995665,50.3,48.1
Arizona,Mohave County,Republican,51.3,104705,24831,78535,23.7,75.0
Arizona,Navajo County,Republican,8.2,51783,23383,27657,45.2,53.4
Arizona,Pima County,Democrat,18.7,520735,304981,207758,58.6,39.9
Arizona,Pinal County,Republican,17.3,185037,75106,107077,40.6,57.9
Arizona,Santa Cruz County,Democrat,35.5,19561,13138,6194,67.2,31.7
Arizona,Yavapai County,Republican,29.3,143280,49602,91527,34.6,63.9
Arizona,Yuma County,Republican,6.1,69926,32210,36534,46.1,52.2
Arkansas,Arkansas County,Republican,39.5,6292,1818,4304,28.9,68.4
Arkansas,Ashley County,Republican,43.2,7926,2125,5548,26.8,70.0
Arkansas,Baxter County,Republican,53.3,21007,4635,15836,22.1,75.4
Arkansas,Benton County,Republican,26.5,119912,42249,73965,35.2,61.7
Arkansas,Boone County,Republican,61.9,17114,3064,13652,17.9,79.8
Arkansas,Bradley County,Republican,30.7,3654,1214,2335,33.2,63.9
Arkansas,Calhoun County,Republican,53.0,2182,479,1636,22.0,75.0
Arkansas,Carroll County,Republican,28.8,11797,4023,7424,34.1,62.9
Arkansas,Chicot County,Democrat,12.4,4103,2260,1752,55.1,42.7
Arkansas,Clark County,Republican,14.0,8395,3438,4616,41.0,55.0
Arkansas,Clay County,Republican,60.2,5183,962,4086,18.6,78.8
Arkansas,Cleburne County,Republican,65.8,12680,1988,10328,15.7,81.5
Arkansas,Cleveland County,Republican,61.5,3600,651,2867,18.1,79.6
Arkansas,Columbia County,Republican,31.1,8616,2814,5500,32.7,63.8
Arkansas,Conway County,Republican,35.5,8685,2615,5694,30.1,65.6
Arkansas,Craighead County,Republican,35.4,38511,11921,25558,31.0,66.4
Arkansas,Crawford County,Republican,56.6,24091,4959,18607,20.6,77.2
Arkansas,Crittenden County,Democrat,7.2,16367,8514,7333,52.0,44.8
Arkansas,Cross County,Republican,45.7,6942,1772,4946,25.5,71.2
Arkansas,Dallas County,Republican,23.0,2649,963,1573,36.4,59.4
Arkansas,Desha County,Democrat,2.3,4164,2016,1921,48.4,46.1
Arkansas,Drew County,Republican,27.9,6908,2426,4349,35.1,63.0
Arkansas,Faulkner County,Republican,29.5,54428,18347,34421,33.7,63.2
Arkansas,Franklin County,Republican,61.4,7129,1300,5677,18.2,79.6
Arkansas,Fulton County,Republican,57.2,5119,1035,3961,20.2,77.4
Arkansas,Garland County,Republican,34.0,44199,14045,29069,31.8,65.8
Arkansas,Grant County,Republican,67.4,8200,1268,6794,15.5,82.9
Arkansas,Greene County,Republican,59.7,16100,3058,12670,19.0,78.7
Arkansas,Hempstead County,Republican,34.1,6848,2138,4470,31.2,65.3
Arkansas,Hot Spring County,Republican,48.8,12557,3082,9202,24.5,73.3
Arkansas,Howard County,Republican,42.0,4834,1340,3367,27.7,69.7
Arkansas,Independence County,Republican,58.2,14512,2806,11250,19.3,77.5
Arkansas,Izard County,Republican,62.1,5810,1021,4631,17.6,79.7
Arkansas,Jackson County,Republican,43.8,5091,1365,3593,26.8,70.6
Arkansas,Jefferson County,Democrat,21.7,25158,14981,9521,59.5,37.8
Arkansas,Johnson County,Republican,49.0,9498,2283,6938,24.0,73.0
Arkansas,Lafayette County,Republican,34.3,2679,839,1757,31.3,65.6
Arkansas,Lawrence County,Republican,59.6,5857,1080,4569,18.4,78.0
Arkansas,Lee County,Democrat,4.8,2848,1423,1286,50.0,45.2
Arkansas,Lincoln County,Republican,43.8,3875,1032,2729,26.6,70.4
Arkansas,Little River County,Republican,48.1,5177,1226,3715,23.7,71.8
Arkansas,Logan County,Republican,59.5,8225,1544,6441,18.8,78.3
Arkansas,Lonoke County,Republican,52.8,30662,6686,22884,21.8,74.6
Arkansas,Madison County,Republican,55.7,7351,1563,5658,21.3,77.0
Arkansas,Marion County,Republican,56.7,7503,1531,5783,20.4,77.1
Arkansas,Miller County,Republican,46.4,16529,4245,11920,25.7,72.1
Arkansas,Mississippi County,Republican,22.2,12342,4558,7296,36.9,59.1
Arkansas,Monroe County,Republican,14.2,2816,1147,1545,40.7,54.9
Arkansas,Montgomery County,Republican,59.7,3873,731,3046,18.9,78.6
Arkansas,Nevada County,Republican,31.5,3358,1076,2133,32.0,63.5
Arkansas,Newton County,Republican,62.1,3998,709,3192,17.7,79.8
Arkansas,Ouachita County,Republican,13.5,9629,3995,5294,41.5,55.0
Arkansas,Perry County,Republican,53.3,4627,1012,3479,21.9,75.2
Arkansas,Phillips County,Democrat,19.3,6242,3623,2417,58.0,38.7
Arkansas,Pike County,Republican,67.7,4246,644,3519,15.2,82.9
Arkansas,Poinsett County,Republican,59.8,7521,1424,5918,18.9,78.7
Arkansas,Polk County,Republican,68.2,8490,1246,7035,14.7,82.9
Arkansas,Pope County,Republican,50.4,24432,5772,18081,23.6,74.0
Arkansas,Prairie County,Republican,61.0,3495,654,2786,18.7,79.7
Arkansas,Pulaski County,Democrat,22.5,169956,101947,63687,60.0,37.5
Arkansas,Randolph County,Republican,60.8,6812,1215,5355,17.8,78.6
Arkansas,St. Francis County,Democrat,5.1,7108,3604,3242,50.7,45.6
Arkansas,Saline County,Republican,41.2,56959,16060,39556,28.2,69.4
Arkansas,Scott County,Republican,69.8,3551,483,2962,13.6,83.4
Arkansas,Searcy County,Republican,69.1,4019,588,3365,14.6,83.7
Arkansas,Sebastian County,Republican,35.5,47140,14487,31198,30.7,66.2
Arkansas,Sevier County,Republican,53.2,5202,1116,3884,21.5,74.7
Arkansas,Sharp County,Republican,60.0,7566,1398,5938,18.5,78.5
Arkansas,Stone County,Republican,57.8,5938,1180,4616,19.9,77.7
Arkansas,Union County,Republican,29.5,16607,5584,10478,33.6,63.1
Arkansas,Van Buren County,Republican,56.9,7807,1593,6034,20.4,77.3
Arkansas,Washington County,Republican,3.9,94266,43824,47504,46.5,50.4
Arkansas,White County,Republican,58.9,30885,5978,24182,19.4,78.3
Arkansas,Woodruff County,Republican,27.7,2476,856,1543,34.6,62.3
Arkansas,Yell County,Republican,58.5,6741,1284,5226,19.0,77.5
California,Alameda County,Democrat,62.5,769864,617659,136309,80.2,17.7
California,Alpine County,Democrat,31.3,741,476,244,64.2,32.9
California,Amador County,Republican,24.3,22302,8153,13585,36.6,60.9
California,Butte County,Democrat,1.6,102042,50426,48730,49.4,47.8
California,Calaveras County,Republican,23.8,27164,10046,16518,37.0,60.8
California,Colusa County,Republican,16.6,7951,3234,4554,40.7,57.3
California,Contra Costa County,Democrat,45.3,581230,416386,152877,71.6,26.3
California,Del Norte County,Republican,15.6,11452,4677,6461,40.8,56.4
California,El Dorado County,Republican,8.8,116138,51621,61838,44.4,53.2
California,Fresno County,Democrat,7.8,364809,193025,164464,52.9,45.1
California,Glenn County,Republican,27.1,11292,3995,7063,35.4,62.5
California,Humboldt County,Democrat,33.4,68828,44768,21770,65.0,31.6
California,Imperial County,Democrat,24.3,56718,34678,20847,61.1,36.8
California,Inyo County,Democrat,0.2,9481,4634,4620,48.9,48.7
California,Kern County,Republican,10.2,305226,133366,164484,43.7,53.9
California,Kings County,Republican,12.3,43858,18699,24072,42.6,54.9
California,Lake County,Democrat,6.3,28800,14941,13123,51.9,45.6
