total_population,median_household_income,median_household_income_black,median_household_income_hispanicOrLatino,median_household_income_white_notHispanic,proportion_white,proportion_white_notHispanic,proportion_black,proportion_hispanicOrLatino,proportion_asian,proportion_bachelorsDegreeOrHigher_white,proportion_bachelorsDegreeOrHigher_white_notHispanic,proportion_bachelorsDegreeOrHigher_black,proportion_bachelorsDegreeOrHigher_hispanicOrLatino,proportion_bachelorsDegreeOrHigher_asian,proportion_less_than_hs_white,proportion_less_than_hs_white_notHispanic,proportion_less_than_hs_black,proportion_less_than_hs_hispanicOrLatino,proportion_less_than_hs_asian,fips,state
33439,72558,105673,82042,72797,0.941056849786178,0.925506145518706,0.00526331529052902,0.0332246777714645,0.00308023565298005,0.181835515444261,0.181853431562621,0.0170454545454545,0.157515751575158,0.349514563106796,0.0712152027456464,0.0722179139201241,0.0625,0.0675067506750675,0.281553398058252,227,GA
19822,54861,32188,76895,56343,0.855312279285642,0.83684794672586,0.0973161134093432,0.0507012410453032,0,0.112952695529079,0.115444899927659,0.142042509072058,0.0398009950248756,0.296456941497841,0.0792733278282411,0.0790933204726308,0.0881285640228097,0.260696517412935,0.0573966585614558,229,GA
19145,83866,42344,57679,88873,0.874223034734918,0.86654478976234,0.0861321493862627,0.0191172629929485,0.00569339253068686,0.14512756168967,0.145207956600362,0.0751970891449363,0.0683060109289618,0.311926605504587,0.0745653342892992,0.0752260397830018,0.110369921164342,0.191256830601093,0.311926605504587,231,GA
43019,51956,35486,37155,58838,0.768311676236082,0.706013621888003,0.122480764313443,0.1382412422418,0.00671796183081894,0.105923998547743,0.110661135256157,0.078382994875688,0.0423743063729612,0.190311418685121,0.111581749969745,0.105821151060187,0.115771493642057,0.158735496889188,0,233,GA
9887,42545,32617,39702,67386,0.579245473854556,0.563264893294225,0.368362496207141,0.0417720238697279,0.0125417214524123,0.119085035795355,0.114203627222122,0.0529928610653487,0.307506053268765,0.25,0.113672079622839,0.11186927635123,0.206754530477759,0.0799031476997579,0,235,GA
22206,60825,53184,62353,68459,0.681527515086013,0.65432765919121,0.254660902458795,0.0640367468251824,0.00481851751778798,0.234439011497291,0.236476256022023,0.0633068081343943,0.178621659634318,0.700934579439252,0.0997753402933791,0.102271163110805,0.0486295313881521,0.153305203938115,0.130841121495327,237,GA
2180,38889,33134,57679,45360,0.437155963302752,0.422477064220183,0.525688073394495,0.0380733944954128,0,0.165792235047219,0.171552660152009,0.0235602094240838,0,0.296456941497841,0.130115424973767,0.134636264929425,0.184118673647469,0,0.0573966585614558,239,GA
16915,57261,40188,72174,58703,0.89689624593556,0.880579367425362,0.014011232633757,0.0798108187998818,0.0103458468814662,0.217915760332213,0.220006713662303,0.0886075949367089,0.127407407407407,0.971428571428571,0.0833827697580911,0.0784155756965425,0.118143459915612,0.154814814814815,0,241,GA
6365,24638,21059,57679,41985,0.307934014139827,0.306677140612726,0.646661429693637,0.0329929300864101,0.00172820109976434,0.113265306122449,0.113729508196721,0.0592808551992225,0.233333333333333,1,0.0872448979591837,0.0876024590163934,0.150145772594752,0,0,243,GA
206153,50605,41935,61677,63023,0.344477160167448,0.327019252690963,0.55897804058151,0.0531789496150917,0.017748953447197,0.216588044779272,0.218390293105494,0.10990584457847,0.178783179786555,0.335610822629134,0.0751108920650567,0.0771330248012341,0.0909619473250315,0.060020067499772,0.073244055752938,245,GA
93641,68999,69382,56278,70072,0.320660821648637,0.270501169359575,0.572644461293664,0.104537542315866,0.0181864781452569,0.179505112065807,0.203434662455586,0.194189060664267,0.0654816630912248,0.360540223135643,0.0841575915009825,0.0757994472956968,0.0531488353878,0.151190111349474,0.108631826189078,247,GA
4565,53274,27083,48533,56449,0.764950711938664,0.753778751369113,0.178313253012048,0.0573932092004381,0,0.124570446735395,0.120604475443185,0.0626535626535627,0.255725190839695,0.296456941497841,0.0859106529209622,0.0799186283057251,0.163390663390663,0.16030534351145,0.0573966585614558,249,GA
14026,49941,33131,52800,64515,0.565948951946385,0.55311564237844,0.401326108655354,0.0260230999572223,0.0039925851989163,0.167296548248929,0.17117813869554,0.0364185468111565,0.0712328767123288,0,0.0767195767195767,0.0774684196957979,0.152069639367561,0.136986301369863,0,251,GA
9117,46063,27237,92240,51372,0.637600087748163,0.616650213886147,0.332675222112537,0.035538005923001,0.00581331578370078,0.165319112334423,0.165777303450729,0.0445103857566766,0.262345679012346,0.188679245283019,0.0860141063134354,0.0889363215937389,0.0919881305637982,0.037037037037037,0.30188679245283,253,GA
67415,57367,36850,46165,71763,0.590803233701698,0.560987910702366,0.345027071126604,0.0510865534376622,0.00885559593562264,0.153004092495418,0.15801581215791,0.0738607050730868,0.0696864111498258,0.5678391959799,0.106756383539632,0.10185356566805,0.126741186586414,0.178861788617886,0,255,GA
26732,52901,44392,24422,55795,0.817671704324405,0.810713751309292,0.106726021247943,0.0416729013915906,0.011783630106239701,0.119635831274591,0.118770764119601,0.0764107956536979,0.0906642728904847,0.0857142857142857,0.108335620825327,0.109265411590993,0.159831756046267,0.0709156193895871,0.0349206349206349,257,GA
5121,43094,35870,57679,65313,0.240382737746534,0.213434876000781,0.616090607303261,0.12829525483304,0.0328060925600469,0.19821283509342,0.219579139981702,0.106814580031696,0.0060882800608828,0.470238095238095,0.168968318440292,0.146386093321135,0.206656101426307,0.476407914764079,0.0476190476190476,259,GA
29378,38899,35078,40110,53873,0.418170059227994,0.390462250663762,0.510790387364695,0.0608278303492409,0.012866771053169,0.211151811151811,0.22186383052916,0.0798347327735573,0.0917739227756016,0.439153439153439,0.062026862026862,0.0641617993200244,0.135412501666,0.10464465584779,0.0846560846560847,261,GA
5793,48065,38750,57679,51221,0.409632314862765,0.405144139478681,0.565337476264457,0.00932159502848265,0.00155359917141378,0.168563000421408,0.166169578184917,0.0812213740458015,0.185185185185185,1,0.0758533501896334,0.0766936514699617,0.16793893129771,0,0,263,GA
1635,45881,41065,57679,62656,0.366360856269113,0.354128440366972,0.502752293577982,0.0599388379204893,6.1162079510703e-4,0.15025041736227,0.155440414507772,0.0608272506082725,0,1,0.0534223706176962,0.0552677029360967,0.166666666666667,0.316326530612245,0,265,GA
24309,51868,29685,41838,59956,0.56802007486939,0.560409724793286,0.281994323090213,0.125015426385289,0.00283845489324941,0.148826767091541,0.148498862218307,0.0348650619985412,0.0223757815070747,0.217391304347826,0.0967555040556199,0.094839609483961,0.217651349380015,0.250740375123396,0,267,GA
7799,40727,26314,57679,48923,0.582382356712399,0.580074368508783,0.384664700602641,0.00692396461084754,0.0089755096807283,0.134742404227213,0.135278514588859,0.0853333333333333,0,0.428571428571429,0.135843240863056,0.136383731211317,0.269666666666667,0.037037037037037,0,269,GA
12619,41801,36250,60824,42454,0.512084951263967,0.466122513669863,0.350820191774309,0.173864807037008,0.0016641572232348,0.0827917053543794,0.0884053043182591,0.0325276711091032,0.01640838650866,0.428571428571429,0.137109254100898,0.147908874532472,0.168963180483397,0.22105742935278,0.380952380952381,271,GA
9004,43507,31350,92882,67115,0.362061306086184,0.359729009329187,0.586294980008885,0.02998667258996,0.0235450910706353,0.146932515337423,0.147885149737573,0.0562606554271642,0.0481481481481481,0,0.0730061349693251,0.069465884532263,0.136957757150976,0.381481481481481,0.245283018867925,273,GA
45665,55958,36899,43794,68097,0.590430307675463,0.574685207489324,0.360626300229935,0.0390671192379284,0.00781780356947334,0.210221793635487,0.213199710398964,0.0824022346368715,0.139013452914798,0.120448179271709,0.0732512424894296,0.0690469839576268,0.130313334952635,0.140134529147982,0.0364145658263305,275,GA
41247,52561,34464,58448,62690,0.583484859504934,0.540960554707009,0.290202923849007,0.126118263146411,0.0112493029796106,0.163501890555532,0.173172589969973,0.0507936507936508,0.0372933487120338,0.385775862068966,0.0836415008102381,0.0830905750011204,0.148705096073517,0.120338331410996,0.0366379310344828,277,GA
