state,town,county,fips
NH,Lee,Strafford,017

NH,Lempster,Sullivan,019

NH,Lincoln,Grafton,009

NH,Lisbon,Grafton,009

NH,Litchfield,Hillsborough,011

NH,Littleton,Grafton,009

NH,Londonderry,Rockingham,015

NH,Loudon,Merrimack,013

NH,Lyman,Grafton,009

NH,Lyme,Grafton,009

NH,Lyndeborough,Hillsborough,011

NH,Madbury,Strafford,017

NH,Madison,Carroll,003

NH,Manchester,Hillsborough,011

NH,Marlborough,Cheshire,005

NH,Marlow,Cheshire,005

NH,Mason,Hillsborough,011

NH,Meredith,Belknap,001

NH,Merrimack,Hillsborough,011

NH,Middleton,Strafford,017

NH,Milan,Coös,007

NH,Milford,Hillsborough,011

NH,Millsfield,Coös,007

NH,Milton,Strafford,017

NH,Monroe,Grafton,009

NH,Moultonborough,Carroll,003

NH,Mt Vernon,Hillsborough,011

NH,Nashua,Hillsborough,011

NH,Nelson,Cheshire,005

NH,New Boston,Hillsborough,011

NH,New Castle,Rockingham,015

NH,New Durham,Strafford,017

NH,New Hampton,Belknap,001

NH,New Ipswich,Hillsborough,011

NH,New London,Merrimack,013

NH,Newbury,Merrimack,013

NH,Newfields,Rockingham,015

NH,Newington,Rockingham,015

NH,Newmarket,Rockingham,015

NH,Newport,Sullivan,019

NH,Newton,Rockingham,015

NH,North Hampton,Rockingham,015

NH,Northfield,Merrimack,013

NH,Northumberland,Coös,007

NH,Northwood,Rockingham,015

NH,Nottingham,Rockingham,015

NH,Orange,Grafton,009

NH,Orford,Grafton,009

NH,Ossipee,Carroll,003

NH,Pelham,Hillsborough,011

NH,Pembroke,Merrimack,013

NH,Peterborough,Hillsborough,011

NH,Piermont,Grafton,009

NH,Pittsburg,Coös,007

NH,Pittsfield,Merrimack,013

NH,Plainfield,Sullivan,019

NH,Plaistow,Rockingham,015

NH,Plymouth,Grafton,009

NH,Portsmouth,Rockingham,015

NH,Randolph,Coös,007

NH,Raymond,Rockingham,015

