State,Abbreviate,District,Office_type,When to call,Last Poll Close,,Estimated call time,Race to watch,,,
Massachusetts,MA,8,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Massachusetts,MA,9,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Michigan,MI,1,House,Exit Poll,9:00 PM,#N/A,9:05:00 PM,,,,
Michigan,MI,2,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Michigan,MI,3,House,Early results,8:00 PM,6,12:00:00 AM,TRUE,,,
Michigan,MI,4,House,Early results,8:00 PM,6,12:00:00 AM,TRUE,,,
Michigan,MI,5,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Michigan,MI,6,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Michigan,MI,7,House,Almost all results,8:00 PM,8,next day,TRUE,,,
Michigan,MI,8,House,Lots of results,8:00 PM,7,1:00:00 AM,TRUE,,,
Michigan,MI,9,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Michigan,MI,10,House,Lots of results,8:00 PM,7,1:00:00 AM,TRUE,,,
Michigan,MI,11,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Michigan,MI,12,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Michigan,MI,13,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Minnesota,MN,1,House,Exit Poll,9:00 PM,#N/A,9:05:00 PM,,,,
Minnesota,MN,2,House,Lots of results,9:00 PM,7,12:00:00 AM,TRUE,,,
Minnesota,MN,3,House,Early results,9:00 PM,6,11:00:00 PM,TRUE,,,
Minnesota,MN,4,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Minnesota,MN,5,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Minnesota,MN,6,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Minnesota,MN,7,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Minnesota,MN,8,House,Exit Poll,9:00 PM,#N/A,9:05:00 PM,,,,
Mississippi,MS,1,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Mississippi,MS,2,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Mississippi,MS,3,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Mississippi,MS,4,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Missouri,MO,1,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
