county,office_type,district,state,fips,margin_votes_1,margin_pct_1,democratic_percent_1,republican_percent_1,democratic_votes_1,republican_votes_1,margin_votes_2,margin_pct_2,democratic_percent_2,republican_percent_2,democratic_votes_2,republican_votes_2
Humboldt,President,0,CA,023,22998,33.41372697158133,65,31.6,44768,21770,8713,25.903793554524913,58.3,32.4,19596,10883
Imperial,President,0,CA,025,13831,24.385556613420782,61.1,36.8,34678,20847,17172,41.12955378314292,68.2,27.1,28467,11295
Inyo,President,0,CA,027,14,0.14766374854973105,48.9,48.7,4634,4620,-1093,-13.669334667333667,39.5,53.1,3155,4248
Kern,President,0,CA,029,-31118,-10.195068572139988,43.7,53.9,133366,164484,-32683,-15.011137903318406,39.7,54.7,86481,119164
Kings,President,0,CA,031,-5373,-12.250900633863834,42.6,54.9,18699,24072,-4544,-14.089922480620155,40,54.1,12902,17446
Lake,President,0,CA,033,1818,6.3125,51.9,45.6,14941,13123,488,3.7408968953622077,47.8,44.1,6240,5752
Lassen,President,0,CA,035,-6171,-51.48936170212766,23.4,74.8,2799,8970,-5350,-51.333717136825946,21.3,72.7,2224,7574
Los Angeles,President,0,CA,037,1883355,44.17450872452147,71,26.9,3028885,1145530,1273485,48.018492710605145,71.4,23.4,1893770,620285
Madera,President,0,CA,039,-6210,-11.559510070362235,43.1,54.7,23168,29378,-5938,-17.330648221113155,38.8,56.1,13283,19221
Marin,President,0,CA,041,103676,66.54386043735278,82.3,15.8,128288,24612,69119,62.869175284925554,78.8,15.9,86650,17531
Mariposa,President,0,CA,043,-1862,-18.11284046692607,39.8,57.9,4088,5950,-2063,-23.239833277008,35.2,58.4,3122,5185
Mendocino,President,0,CA,045,15515,35.801642975816875,66.4,30.6,28782,13267,3334,29.15609969392217,60.4,31.2,6905,3571
Merced,President,0,CA,047,9594,10.596304436664052,54.1,43.5,48991,39397,3370,7.925122874679585,51.4,43.5,21856,18486
Modoc,President,0,CA,049,-1959,-45.159059474412174,26.5,71.7,1150,3109,-1615,-48.07978565049122,23.8,71.8,798,2413
Mono,President,0,CA,051,1500,22.26510316164465,59.6,37.3,4013,2513,616,11.951882033372138,52.3,40.4,2696,2080
Monterey,President,0,CA,053,67654,41.28189012893345,69.5,28.3,113953,46299,38355,39.67375563738673,67,27.3,64733,26378
Napa,President,0,CA,055,29141,40.40514683453038,69.1,28.7,49817,20676,14215,35.1917411432674,64.8,29.6,26161,11946
Nevada,President,0,CA,057,9580,14.798109302110044,56.2,41.4,36359,26779,1513,4.549281375909556,48.7,44.2,16199,14686
Orange,President,0,CA,059,137511,9.036521053409782,53.5,44.5,814009,676498,83875,7.680044976907215,51,43.3,556544,472669
Placer,President,0,CA,061,-15619,-6.6459022113293935,45.5,52.1,106869,122488,-17008,-11.298594318815933,41.2,52.5,61969,78977
Plumas,President,0,CA,063,-1884,-16.73773987206823,40.5,57.3,4561,6445,-1855,-21.0079275198188,36.5,57.5,3224,5079
Riverside,President,0,CA,065,79243,7.95487855315834,53,45,527945,448702,29631,4.3344762818674925,49.6,45.3,339145,309514
Sacramento,President,0,CA,067,181403,25.254841359339544,61.4,36.1,440808,259405,110744,23.687238784580966,58.6,34.9,273768,163024
San Benito,President,0,CA,069,7038,24.419693973144582,61.2,36.7,17628,10590,3579,20.367630320965173,57.2,36.8,10050,6471
San Bernardino,President,0,CA,071,89602,10.655095364542394,54.2,43.6,455859,366257,58555,9.77900174186642,52.2,42.4,312517,253962
San Diego,President,0,CA,073,364556,22.760254276335093,60.2,37.5,964650,600094,180436,17.835795150699205,56.1,38.2,567243,386807
San Francisco,President,0,CA,075,321739,72.55230484059369,85.3,12.7,378156,56417,277950,76.08918819036668,85.5,9.4,312443,34493
San Joaquin,President,0,CA,077,40039,13.881078757328138,55.9,42,161137,121098,21475,12.886520609431914,53.9,41,89791,68316
San Luis Obispo,President,0,CA,079,20874,13.07231292389201,55.3,42.2,88310,67436,10329,8.291390728476822,50.6,42.3,63001,52672
San Mateo,President,0,CA,081,215847,57.69181425035682,77.9,20.2,291410,75563,165849,57.68680934542381,76.4,18.7,219580,53731
Santa Barbara,President,0,CA,083,64227,32.067323054801086,64.9,32.8,129963,65736,46380,28.241913484021826,61,32.7,100120,53740
Santa Clara,President,0,CA,085,403355,47.42440524760089,72.7,25.2,617967,214612,346020,52.49503905041053,73.3,20.9,483472,137452
Santa Cruz,President,0,CA,087,87309,60.29793640708307,78.9,18.6,114246,26937,65027,57.28796835493221,75,17.8,85185,20158
Shasta,President,0,CA,089,-30789,-33.142088266953714,32.3,65.4,30000,60789,-27116,-37.37354246492268,28.2,65.6,20471,47587
Sierra,President,0,CA,091,-412,-21.34715025906736,37.8,59.2,730,1142,-447,-24.778270509977826,33.3,58.1,601,1048
Siskiyou,President,0,CA,093,-3697,-15.76545842217484,40.9,56.7,9593,13290,-4106,-20.699737850373058,35.8,56.5,7106,11212
Solano,President,0,CA,095,62333,30.283582162064995,64,33.7,131639,69306,47564,30.476654257466343,62.3,31.8,97159,49595
