"Geography","district","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"5001800US2613","13","MI",773276,0.384,0.445,0.006,0.027,0.001,0.049,0.088,0.109,48723,0.849,0.225
"5001800US2701","1","MN",713000,0.828,0.039,0.005,0.031,0,0.033,0.062,0.075,73883,0.933,0.321
"5001800US2702","2","MN",733289,0.75,0.076,0.005,0.055,0,0.039,0.075,0.083,101390,0.952,0.426
"5001800US2703","3","MN",699786,0.707,0.103,0.005,0.088,0,0.026,0.071,0.054,101791,0.956,0.514
"5001800US2704","4","MN",699739,0.636,0.108,0.006,0.137,0.001,0.036,0.078,0.076,85172,0.932,0.497
"5001800US2705","5","MN",702050,0.623,0.169,0.008,0.054,0,0.041,0.106,0.104,83394,0.937,0.538
"5001800US2706","6","MN",747036,0.822,0.06,0.003,0.033,0,0.018,0.064,0.045,100756,0.951,0.37
"5001800US2707","7","MN",715239,0.884,0.012,0.008,0.012,0.003,0.023,0.059,0.056,70873,0.94,0.257
"5001800US2708","8","MN",727776,0.873,0.014,0.035,0.012,0,0.011,0.056,0.022,73546,0.945,0.284
"5001800US2801","1","MS",745641,0.635,0.271,0.004,0.008,0,0.03,0.053,0.039,61172,0.875,0.257
"5001800US2802","2","MS",701580,0.318,0.625,0.003,0.006,0,0.011,0.037,0.024,44887,0.845,0.213
"5001800US2803","3","MS",740675,0.583,0.332,0.011,0.011,0.001,0.015,0.045,0.03,55369,0.885,0.288
"5001800US2804","4","MS",751794,0.674,0.214,0.003,0.013,0,0.025,0.072,0.055,56749,0.903,0.262
"5001800US2901","1","MO",741792,0.433,0.442,0.003,0.036,0,0.023,0.063,0.048,61562,0.922,0.411
"5001800US2902","2","MO",764420,0.834,0.037,0.001,0.046,0,0.01,0.072,0.033,97483,0.958,0.503
"5001800US2903","3","MO",781181,0.85,0.046,0.003,0.023,0,0.011,0.067,0.036,77614,0.929,0.354
"5001800US2904","4","MO",788949,0.859,0.047,0.003,0.009,0.002,0.012,0.07,0.051,64293,0.904,0.258
"5001800US2905","5","MO",760843,0.611,0.221,0.004,0.02,0.003,0.039,0.101,0.122,65761,0.924,0.365
"5001800US2906","6","MO",785446,0.872,0.038,0.003,0.011,0.001,0.015,0.06,0.04,71515,0.919,0.276
"5001800US2907","7","MO",790923,0.859,0.017,0.007,0.014,0.004,0.025,0.074,0.067,60685,0.917,0.27
"5001800US2908","8","MO",782602,0.881,0.037,0.002,0.008,0.002,0.006,0.065,0.025,60102,0.888,0.221
"5001800US3001","1","MT",576553,0.859,0.003,0.04,0.009,0,0.015,0.073,0.044,73314,0.945,0.385
"5001800US3002","2","MT",556259,0.833,0.005,0.073,0.008,0,0.011,0.07,0.049,66788,0.944,0.305
"5001800US3101","1","NE",659725,0.796,0.029,0.008,0.026,0,0.042,0.098,0.118,76484,0.938,0.361
"5001800US3102","2","NE",664285,0.707,0.093,0.009,0.042,0,0.052,0.098,0.135,80900,0.926,0.444
"5001800US3103","3","NE",654369,0.828,0.014,0.016,0.005,0,0.061,0.076,0.134,68055,0.916,0.256
"5001800US3201","1","NV",788277,0.431,0.102,0.01,0.085,0.003,0.218,0.152,0.371,68423,0.841,0.268
"5001800US3202","2","NV",793631,0.673,0.017,0.02,0.045,0.007,0.075,0.163,0.245,81407,0.899,0.301
"5001800US3203","3","NV",796395,0.455,0.093,0.01,0.184,0.013,0.076,0.168,0.222,83293,0.914,0.351
"5001800US3204","4","NV",815873,0.435,0.16,0.014,0.054,0.007,0.155,0.174,0.358,72980,0.853,0.226
"5001800US3301","1","NH",697780,0.878,0.015,0.001,0.026,0,0.011,0.07,0.047,98681,0.948,0.407
"5001800US3302","2","NH",704274,0.873,0.016,0.002,0.026,0,0.014,0.07,0.046,94960,0.94,0.408
"5001800US3401","1","NJ",777528,0.605,0.157,0.006,0.051,0.001,0.077,0.102,0.162,85653,0.915,0.355
"5001800US3402","2","NJ",786799,0.655,0.109,0.006,0.037,0,0.094,0.1,0.182,83257,0.898,0.324
"5001800US3403","3","NJ",782374,0.646,0.132,0.005,0.079,0,0.046,0.092,0.122,107879,0.944,0.459
"5001800US3404","4","NJ",795843,0.814,0.025,0.004,0.027,0,0.039,0.09,0.114,93402,0.936,0.398
"5001800US3405","5","NJ",767729,0.607,0.052,0.002,0.16,0,0.07,0.109,0.18,123326,0.946,0.557
"5001800US3406","6","NJ",766057,0.445,0.116,0.024,0.191,0,0.123,0.102,0.241,102014,0.881,0.435
"5001800US3407","7","NJ",778678,0.695,0.05,0.004,0.089,0,0.058,0.104,0.15,133593,0.951,0.549
"5001800US3408","8","NJ",749983,0.306,0.086,0.023,0.113,0,0.241,0.23,0.512,82118,0.842,0.425
"5001800US3409","9","NJ",770658,0.391,0.094,0.007,0.097,0.001,0.189,0.221,0.435,86044,0.847,0.342
"5001800US3410","10","NJ",768591,0.202,0.49,0.006,0.065,0,0.126,0.111,0.22,73615,0.87,0.337
"5001800US3411","11","NJ",775849,0.63,0.052,0.001,0.126,0,0.057,0.134,0.17,134648,0.955,0.589
"5001800US3412","12","NJ",770752,0.397,0.159,0.013,0.196,0,0.148,0.087,0.245,106709,0.887,0.473
"5001800US3501","1","NM",705390,0.555,0.031,0.043,0.029,0.002,0.099,0.241,0.411,68255,0.919,0.402
"5001800US3502","2","NM",710078,0.43,0.018,0.058,0.015,0.001,0.164,0.313,0.609,56082,0.834,0.254
"5001800US3503","3","NM",698903,0.44,0.011,0.18,0.011,0.002,0.128,0.229,0.437,62270,0.868,0.286
"5001800US3601","1","NY",775252,0.715,0.045,0.002,0.059,0,0.062,0.116,0.165,132619,0.94,0.483
"5001800US3602","2","NY",777290,0.575,0.112,0.004,0.034,0,0.152,0.123,0.292,118189,0.889,0.328
"5001800US3603","3","NY",760691,0.558,0.03,0.004,0.238,0,0.065,0.105,0.159,133103,0.914,0.512
"5001800US3604","4","NY",767277,0.513,0.178,0.002,0.078,0,0.111,0.117,0.209,134813,0.924,0.451
"5001800US3605","5","NY",737913,0.143,0.42,0.011,0.156,0.001,0.16,0.108,0.204,82632,0.83,0.292
"5001800US3606","6","NY",706077,0.266,0.042,0.007,0.418,0,0.136,0.131,0.265,76232,0.819,0.383
"5001800US3607","7","NY",720452,0.418,0.118,0.009,0.133,0,0.163,0.159,0.329,91286,0.857,0.494
"5001800US3608","8","NY",740016,0.301,0.412,0.004,0.08,0,0.099,0.104,0.172,59764,0.855,0.345
"5001800US3609","9","NY",725054,0.328,0.415,0.004,0.082,0.001,0.074,0.097,0.124,72091,0.871,0.404
"5001800US3610","10","NY",719080,0.524,0.062,0.007,0.197,0,0.105,0.105,0.197,116821,0.855,0.622
"5001800US3611","11","NY",753280,0.529,0.074,0.009,0.211,0,0.066,0.11,0.188,88756,0.843,0.359
